raw_aspect,sentence,label,label_id
camera quality,camera quality : awesome,positive,2
colors,it generates good colors,positive,2
camera result,i like its camera result the most,positive,2
battery,battery : 3 step mode u consume ur power in emergency,neutral,1
phone speed,speed : phone speed is moderate not too much good but its better,neutral,1
display,display : generates color according to its price range but its good,neutral,1
touch,touch : touch is not much good but its better in this range,neutral,1
value of money,value of money : excellent in this price range,neutral,1
shappire blue,shappire blue is superb,positive,2
front camera,"front camera excellent ,rear camera also superb",positive,2
rear camera,"front camera excellent ,rear camera also superb",positive,2
battery backup,battery backup good for my usage,neutral,1
display good,display good it's not amoled,positive,2
it's not amoled,display good it's not amoled,negative,0
ips lcd display,it's ips lcd display it's ok,neutral,1
eye comfort option,it has eye comfort option,neutral,1
fast charging,fast charging superb,positive,2
finger sensor,finger sensor very fast,positive,2
notch display,notch display good,positive,2
superb mobile,"overall the 'huawei honor 10 lite"" superb mobile in mid range",positive,2
built quality,and good built quality,positive,2
cameras,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,neutral,1
24mp camera,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,positive,2
selfie,cameras are good 24mp camera at this price is simply awesome decent for selfie freaks,positive,2
kirin 710 processor,"kirin 710 processor : lag free performance for gaming like pubg , call of duty & others",positive,2
"lag free performance for gaming like pubg , call of duty & others","kirin 710 processor : lag free performance for gaming like pubg , call of duty & others",positive,2
sound quality,sound quality is good & speakers are good & loud,positive,2
speakers,sound quality is good & speakers are good & loud,positive,2
built quality,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,positive,2
it feels like glass finished,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,positive,2
doesn't looks like a plastic body,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,positive,2
premium look,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,positive,2
can hold comfortably in hands,built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn't looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,positive,2
camera,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
design,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
light weight,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
good battery life,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
one full charge will make your day,"superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
"play pubg, call of duty without any issue","superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue",positive,2
it,just love it,positive,2
mobil,good and best mobil honor is best company,positive,2
phone,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",positive,2
performance,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",positive,2
camera quality,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",positive,2
battery charging,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",positive,2
drain,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",negative,0
mobile design,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",neutral,1
smartphone,it's actually a pretty good smartphone,positive,2
this,i had vivo y91i but comparing each other this is better in every way,positive,2
stock wallpapers,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",negative,0
ringtones,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",negative,0
icons,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",negative,0
the ui,"the honor 10 lite stock wallpapers,ringtones, icons and the ui is boring",negative,0
case,honor 9 lite had a better case and this one comes with a cheap back cover,neutral,1
cheap back cover,honor 9 lite had a better case and this one comes with a cheap back cover,negative,0
light weight,"light weight, fits in palm perfectly",positive,2
fits in palm perfectly,"light weight, fits in palm perfectly",positive,2
poco launcher,poco launcher is better than stock one,positive,2
stock one,poco launcher is better than stock one,negative,0
camera quality,very good camera quality and performance is excellent,positive,2
performance,very good camera quality and performance is excellent,positive,2
phone,freedom sale thanks flipkart very fast deliveryi am very happy used this phone,positive,2
camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
dslr effect,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
front camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
honor 10 lite camera,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
honor 10 lite,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
good pictures,very good camera and also dslr effect and front camera also good comparing to realme 3 pro front camera is 25mp ane honor 10 lite camera is 24mp but the winner is honor 10 lite a very good pictures clicking on my honor 10 lite very happy to bought this phone,positive,2
phone,best phone in this price,positive,2
product,i'm very happy with this product,positive,2
notch,notch is small and negligible so full screen is there almost for use,positive,2
full screen,notch is small and negligible so full screen is there almost for use,positive,2
camera,camera is good as for now,neutral,1
battery backup,battery backup is also more than good enough for the price i paid,neutral,1
price i paid,battery backup is also more than good enough for the price i paid,neutral,1
honor 10 lite,oh my god honor 10 lite is realllllly so cool phone,positive,2
phone,oh my god honor 10 lite is realllllly so cool phone,positive,2
cool phone,everyone people should buy this cool phone and also thank you flipcart and honor❤️❤️,positive,2
phone,great phone that i never had used,positive,2
cam,the brand i like soo much for its cam and performance,positive,2
performance,the brand i like soo much for its cam and performance,positive,2
play high ranged games like pubg,i used honor 7c before it is soo good to play high ranged games like pubg,positive,2
phone,and i make sure that this phone is even more better than it,positive,2
it,so i ll give 5 stars to it,positive,2
camera,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,positive,2
selfie burst,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,positive,2
steel frame,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,positive,2
kirin 710,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,negative,0
screen,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,neutral,1
selfie camera,the camera is awesome specially the selfie burstthe phone had steel frame looks too goodi expected kirin 710 more fastthe screen is ok need improvementnot better than honor 9n except the selfie camera,positive,2
phone,amazing phone in this price range,positive,2
price range,amazing phone in this price range,positive,2
it,i got it in sale in 7199 only it is amazing,positive,2
no problem,it's been a month using this and no problem is there so far,positive,2
camera,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",positive,2
selfie phone,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",positive,2
rear camera,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",positive,2
pro mode,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",positive,2
manual controls,"camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",positive,2
interface,interface is user friendly,positive,2
phone,so far it is the best phone in this range,positive,2
honor,honor is the excellent phone than all,positive,2
phone,honor is the excellent phone than all,positive,2
camera,camera is really so good,positive,2
performances,most important it's performances,neutral,1
pubg and pubg lite,you can play both pubg and pubg lite so easily,positive,2
i play both,its i play both without any issues,positive,2
it,just go for it without think,positive,2
super phone,super phone i like my wife like and super colour,positive,2
super colour,super phone i like my wife like and super colour,positive,2
back camera,back camera is below average and front is also an average one,negative,0
front,back camera is below average and front is also an average one,neutral,1
processor,processor is very smooth and fast,positive,2
build of the phone,build of the phone is good,positive,2
glass feel,but lacks the glass feel,negative,0
camer performance,overall completely dissatisfied with the camer performance,negative,0
overall,overall completely dissatisfied with the camer performance,negative,0
phone,"after almost 6 months of usage, the phone is still in great shape",positive,2
battery,the battery could have been better but it isn't that bad,neutral,1
buy,a satisfying buy,positive,2
camera quality,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",positive,2
mobile look,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",positive,2
lite weight,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",positive,2
battery backup,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",positive,2
in budget phone,"best mobile available in market- camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",positive,2
ergonomics,p r o sgood ergonomics and nice grip,positive,2
grip,p r o sgood ergonomics and nice grip,positive,2
loudspeaker,the loudspeaker is loud indeed,positive,2
battery life,above average battery life,neutral,1
large screen,decent large screen,neutral,1
the kirin 710,the kirin 710 is a good performer,positive,2
uic,customizable and feature-rich uic o n splasticky build,positive,2
feature-rich uic,customizable and feature-rich uic o n splasticky build,positive,2
plasticky build,customizable and feature-rich uic o n splasticky build,negative,0
fast charging,no fast charging,negative,0
camera performance,underwhelming camera performance,negative,0
video stabilization,no video stabilization and no 4k video recording,negative,0
4k video recording,no video stabilization and no 4k video recording,negative,0
emui implementations,we've seen more responsive emui implementations,negative,0
microusb connector,dated microusb connector instead of usb-c,negative,0
phone,it's just amazing phone,positive,2
display,don't go for ratting bcz when i bought it it's ratting for display is 3,neutral,1
display,5 only but i like display too much& i will definitely give 5/5 for display,positive,2
camera of phone both front and back,camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,positive,2
it's night mode,camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,negative,0
battery backup,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,positive,2
capacity of 3400mah,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,neutral,1
it feels like premium phone while holding it,battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itas per my suggestion u should,positive,2
this phone,i've been using this phone from the last 10 days and i know how awesome this phone is,positive,2
ai features of the camera,ai features of the camera is excellent to take daylight shots and night shots are also amazing,positive,2
daylight shots,ai features of the camera is excellent to take daylight shots and night shots are also amazing,positive,2
night shots,ai features of the camera is excellent to take daylight shots and night shots are also amazing,positive,2
battery backup,battery backup is awesome and no lags are seen while playing games or doing multitasking,positive,2
