sentence,raw_aspect,sentiment
Camera quality : Awesome,Camera quality,Positive
it generates good colors,colors,Positive
i like its camera result the most,camera result,Positive
Battery : 3 step mode u consume ur power in emergency,Battery,Neutral
Speed : phone speed is moderate not too much good but its better,Speed,Positive
Speed : phone speed is moderate not too much good but its better,phone,Neutral
Display : generates color according to its price range but its good,Display,Positive
Display : generates color according to its price range but its good,color,Positive
Touch : touch is not much good but its better in this range,Touch,Negative
Value of money : excellent in this price range,Value,Positive
Value of money : excellent in this price range,price range,Positive
"Awesome mobile , I got it with in 2 days",mobile,Positive
shappire blue is superb,,
"Front camera excellent , Rear camera also superb",Front camera,Positive
"Front camera excellent , Rear camera also superb",Rear camera,Positive
Battery backup good for my usage,Battery backup,Positive
Display good it ' s not AMOLED,Display,Positive
it ' s IPS LCD display it ' s ok,display,Neutral
it has eye comfort option,eye comfort,Neutral
Fast charging superb,charging,Positive
Finger sensor very fast,Finger sensor,Positive
Notch Display Good,Display,Positive
"Overall the ' Huawei Honor 10 lite "" superb mobile in mid range",,
and good built quality,built quality,Positive
"Thanks to Huawei , Flipkart and the indiflash mart seller",,
Honor 10 lite : Pros,Honor,Positive
Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,Cameras,Positive
Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,24MP camera,Positive
Cameras are good 24MP camera at this price is simply awesome decent for selfie freaks,price,Positive
"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others",Kirin,Positive
"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others",Processor,Positive
"Kirin 710 Processor : lag free performance for gaming like pubg , call of duty & others",performance,Positive
sound quality is good & speakers are good & loud,sound quality,Positive
sound quality is good & speakers are good & loud,speakers,Positive
Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn ' t looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,Built quality,Positive
Built quality is nice since it is made up of polycarbonate it feels like glass finished & doesn ' t looks like a plastic body which gives a premium look to the phone & can hold comfortably in hands,body,Positive
Battery : One o,Battery,Neutral
"Superb camera , beautiful and slim design , light weight , good battery life , one full charge will make your day , you can play pubg , call of duty without any issue",camera,Positive
"Superb camera , beautiful and slim design , light weight , good battery life , one full charge will make your day , you can play pubg , call of duty without any issue",design,Positive
"Superb camera , beautiful and slim design , light weight , good battery life , one full charge will make your day , you can play pubg , call of duty without any issue",weight,Positive
"Superb camera , beautiful and slim design , light weight , good battery life , one full charge will make your day , you can play pubg , call of duty without any issue",battery life,Positive
"Superb camera , beautiful and slim design , light weight , good battery life , one full charge will make your day , you can play pubg , call of duty without any issue",pubg,Positive
Just love it,,
good and best mobil honor is best company,mobil,Positive
good and best mobil honor is best company,company,Positive
"nice phone good performance good camera quality , battery charging fast and drain also fast mobile design same like previous phones",performance,Positive
"nice phone good performance good camera quality , battery charging fast and drain also fast mobile design same like previous phones",camera quality,Positive
"nice phone good performance good camera quality , battery charging fast and drain also fast mobile design same like previous phones",battery charging,Positive
"nice phone good performance good camera quality , battery charging fast and drain also fast mobile design same like previous phones",design,Negative
it ' s actually a pretty good smartphone,smartphone,Positive
I had vivo y91i but comparing each other this is better in every way,,
"the honor 10 lite stock wallpapers , ringtones , icons and the UI is boring",wallpapers,Negative
"the honor 10 lite stock wallpapers , ringtones , icons and the UI is boring",ringtones,Negative
"the honor 10 lite stock wallpapers , ringtones , icons and the UI is boring",icons,Negative
"the honor 10 lite stock wallpapers , ringtones , icons and the UI is boring",UI,Negative
honor 9 lite had a better case and this one comes with a cheap back cover,case,Positive
honor 9 lite had a better case and this one comes with a cheap back cover,back cover,Negative
"light weight , fits in palm perfectly",weight,Positive
"light weight , fits in palm perfectly",fits,Positive
poco launcher is better than stock one,,
very good camera quality and performance is excellent,camera quality,Positive
very good camera quality and performance is excellent,performance,Positive
i bought only 8009rs only,,
freedom sale thanks flipkart very fast deliveryI am very happy used this phone,deliveryI,Positive
Awesome phone bought it Yesterday,phone,Positive
Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Camera,Positive
Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Dslr effect,Positive
Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,front camera,Positive
Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Camera,Positive
Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Pictures,Positive
Best phone in this price,phone,Positive
Best phone in this price,price,Positive
I give my review after 1month of using this mobile,mobile,Negative
I ' m very happy with this product,,
First of all it was a very quick Delivery,Delivery,Positive
Received the device just in 1½day so Thanks Ekart,,
"Coming to device , it looks beautiful and gives a premium feeling",feeling,Positive
Notch is small and negligible so full screen is there almost for use,Notch,Negative
Notch is small and negligible so full screen is there almost for use,screen,Positive
Camera is good as for now,Camera,Positive
Battery backup is also more than good enough for the price I paid,Battery backup,Positive
Battery backup is also more than good enough for the price I paid,price,Neutral
Oh my God honor 10 lite is realllllly so cool phone,phone,Positive
everyone people should buy this cool phone and also thank you flipcart and honor ❤ ️ ❤ ️,flipcart,Positive
Great phone that I never had used,phone,Positive
The brand I like soo much for its cam and performance,cam,Positive
The brand I like soo much for its cam and performance,performance,Positive
I used honor 7c before it is soo good to play high ranged games like pubg,honor,Positive
I used honor 7c before it is soo good to play high ranged games like pubg,games,Positive
And I make sure that this phone is even more better than it,phone,Positive
So I ll give 5 stars to it,,
The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,camera,Positive
The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,burstThe,Positive
The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,frame,Positive
The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,Kirin,Neutral
The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,screen,Neutral
Amazing phone in this price range,phone,Positive
Amazing phone in this price range,price range,Positive
I got it in sale in 7199 only it is amazing,,
It ' s been a month using this and no problem is there so far,problem,Positive
"Camera is so good , basically this is selfie phone but rear camera is also very good , have a pro mode which also gives all manual controls",Camera,Positive
"Camera is so good , basically this is selfie phone but rear camera is also very good , have a pro mode which also gives all manual controls",rear camera,Positive
Interface is user friendly,Interface,Positive
I don ' t use it for gaming etc,gaming,Neutral
so far it is the best phone in this range,phone,Positive
Honor is the excellent phone than all,Honor,Positive
Camera is really so good,Camera,Positive
Most important it ' s performances,performances,Positive
That ' s really good,,
You can play both Pubg and pubg lite so easily,Pubg,Positive
You can play both Pubg and pubg lite so easily,pubg lite,Positive
I have 3 and 32 model,model,Neutral
Its i play both without any issues,play,Positive
So if you confused,,
Just go for it without think,,
super phone I like my wife like and super colour,colour,Positive
back camera is below average and front is also an average one,back camera,Negative
back camera is below average and front is also an average one,front,Negative
processor is very smooth and fast,processor,Positive
build of the phone is good,build,Positive
but lacks the Glass feel,feel,Negative
Overall Completely Dissatisfied with the Camer performance,Camer performance,Negative
"Go for HONOR 9N , OR HONOR 9 LITE , AND BEST OF ALL HONOR 8 X",HONOR,Positive
"Go for HONOR 9N , OR HONOR 9 LITE , AND BEST OF ALL HONOR 8 X",9 LITE,Positive
"After almost 6 months of usage , the phone is still in great shape",phone,Positive
The battery could have been better but it isn ' t that bad,battery,Neutral
Security updates are also pushed regularly,Security,Positive
A satisfying buy,buy,Positive
"Best mobile available in market - Camera quality awesome , mobile look is very good , lite weight , battery backup very good , also in budget phone",Camera quality,Positive
"Best mobile available in market - Camera quality awesome , mobile look is very good , lite weight , battery backup very good , also in budget phone",look,Positive
"Best mobile available in market - Camera quality awesome , mobile look is very good , lite weight , battery backup very good , also in budget phone",weight,Positive
"Best mobile available in market - Camera quality awesome , mobile look is very good , lite weight , battery backup very good , also in budget phone",battery backup,Positive
this is my 2nd Honor Phone,Phone,Positive
P R O SGood ergonomics and nice grip,ergonomics,Positive
P R O SGood ergonomics and nice grip,grip,Positive
The loudspeaker is loud indeed,loudspeaker,Positive
Above average battery life,battery life,Positive
Decent large screen,screen,Positive
The Kirin 710 is a good performer,Kirin 710,Positive
The Kirin 710 is a good performer,performer,Positive
Customizable and feature - rich UIC O N SPlasticky build,build,Positive
No fast charging,charging,Negative
Underwhelming camera performance,camera performance,Positive
No video stabilization and no 4K video recording,video stabilization,Negative
No video stabilization and no 4K video recording,recording,Negative
We ' ve seen more responsive EMUI implementations,EMUI,Positive
Dated microUSB connector instead of USB - C,microUSB connector,Neutral
it ' s just amazing phone,phone,Positive
I got it for 6400 only on BBD after exchange,,
Don ' t go for ratting bcz when I bought it it ' s ratting for display is 3,display,Negative
5 only but I like display too much & I will definitely give 5 / 5 for display,display,Positive
5 only but I like display too much & I will definitely give 5 / 5 for display,display,Positive
Camera of phone both front and back is also superb but it ' s night mode is not upto mark & it needs very much improvement,Camera,Positive
Camera of phone both front and back is also superb but it ' s night mode is not upto mark & it needs very much improvement,night mode,Negative
Battery backup good with respect to it ' s capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should,Battery backup,Positive
Battery backup good with respect to it ' s capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should,capacity,Positive
I ' ve been using this phone from the last 10 days and I know how awesome this phone is,,
AI features of the camera is excellent to take daylight shots and night shots are also amazing,AI features,Positive
AI features of the camera is excellent to take daylight shots and night shots are also amazing,shots,Positive
Battery backup is awesome and no lags are seen while playing games or doing multitasking,Battery backup,Positive
Battery backup is awesome and no lags are seen while playing games or doing multitasking,multitasking,Positive
Many phones in this price segment comes with HD + resolution but this packs a FHD + LCD panel which is great,HD + resolution,Neutral
Many phones in this price segment comes with HD + resolution but this packs a FHD + LCD panel which is great,LCD panel,Positive
EMUI works smoother than MIUI or ColorOS,EMUI,Positive
EMUI works smoother than MIUI or ColorOS,MIUI,Negative
EMUI works smoother than MIUI or ColorOS,ColorOS,Negative
You ' ll get the pie update in near future 6,pie,Positive
Good product and worth for that amount,amount,Positive
Timely delivery of flipkart is the another advantage,delivery,Positive
good but as compared to price ratio the honor 10 lite is not value for money,price,Neutral
and battery is just 3400mah which not that good,battery,Negative
if you used it heavy than just run - out within 4,,
for battery big thumbs down,battery,Negative
rest is things is just ok not so good not so bad just average,,
Huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,speed,Positive
Huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,camera,Positive
Huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,battery life,Positive
"Honor phone are best phone , huawei is 2nd largest smartphone company in the world",huawei,Positive
I bought this phone from flipkart one week ago,,
Overall This is really best phone,phone,Positive
Camera is superb,Camera,Positive
Displaye is awesome,Displaye,Positive
Battery is out of 4 / 5,Battery,Neutral
According to me this is a durable phone,phone,Positive
Thanks Honor and Flipkart,Honor,Positive
product is good,,
lightly overheating problem,overheating,Negative
camera and battery is good as per performance,camera,Positive
camera and battery is good as per performance,battery,Positive
camera and battery is good as per performance,performance,Positive
unlock system not as fast as much would be,unlock system,Negative
looking smart and more attractive,,
colour variation is best,colour variation,Positive
slim and smart mobile phone,,
Good phone for the price,price,Positive
"Rather I would say , best phone in this segment",phone,Positive
"Love the battery life , display and camera of this phone compared to many others I have tried",battery life,Positive
"Love the battery life , display and camera of this phone compared to many others I have tried",display,Positive
"Love the battery life , display and camera of this phone compared to many others I have tried",camera,Positive
Amazing design very excellent performance and very good camera quality in Honor 10 Lite also i like Huawei Honor Mobile,design,Positive
Amazing design very excellent performance and very good camera quality in Honor 10 Lite also i like Huawei Honor Mobile,performance,Positive
Amazing design very excellent performance and very good camera quality in Honor 10 Lite also i like Huawei Honor Mobile,camera quality,Positive
Thanks flipkart for faster delivery,delivery,Positive
Recently I exchanged my Mi A2 with this one,,
Initially I was somewhat skeptical but extremely happy with my decision now,,
MIUI9 is fun to go along,MIUI9,Positive
The far better OS compared to xiaomi and realme,OS,Positive
"It has numerous useful features in it like notch settings , display settings and customizations etc",features,Positive
"It has numerous useful features in it like notch settings , display settings and customizations etc",settings,Positive
"It has numerous useful features in it like notch settings , display settings and customizations etc",display settings,Positive
"It has numerous useful features in it like notch settings , display settings and customizations etc",customizations,Positive
"The OS , display ( FHD + notch ) , file manager , camera are the biggest assets",OS,Positive
"The OS , display ( FHD + notch ) , file manager , camera are the biggest assets",display,Positive
"The OS , display ( FHD + notch ) , file manager , camera are the biggest assets",file manager,Positive
"The OS , display ( FHD + notch ) , file manager , camera are the biggest assets",camera,Positive
They are clean and beautiful and very easy to organise,organise,Positive
Especially the AI camera adjusts its settlings very optimally to get,AI camera,Positive
Nice phone camera is best all settings tha best tha compair vivo s1,camera,Positive
Nice phone camera is best all settings tha best tha compair vivo s1,settings,Positive
Tnx flipcat awesome best brand,brand,Positive
Very good camera and very good experience I like this,camera,Positive
Very good camera and very good experience I like this,experience,Positive
Smart phone and high quality gaming experience very smooth gaming experience,gaming experience,Positive
"This mobile honer 10 lit value for money i love it , and camera quality is a good quality",value,Positive
"This mobile honer 10 lit value for money i love it , and camera quality is a good quality",camera quality,Positive
But one disappoint in battery pick up is very most 😭😭,battery pick up,Negative
And also good for this mobile i love it ♥ ️ ♥ ️ ♥ ️ 😍 😍 😍,good for this mobile i,Positive
first let me thank to flipcart for faster delivery,delivery,Positive
the product is good one,product,Positive
it is covered with screen protection,screen protection,Neutral
given back pouch,,
ejector pin and manual,ejector,Neutral
ejector pin and manual,manual,Neutral
the phone is working in good condition,phone,Positive
the phone is working in good condition,working,Positive
the phone is working in good condition,condition,Positive
fm is very good,,
camera ok overall good,camera,Positive
battery backup is 3 days if you are not using videos,battery backup,Neutral
"This mobile is awesome at this price range , I don ' t think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good , even I am shocked with the features of the mobile",features,Positive
"This mobile is awesome at this price range , I don ' t think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good , even I am shocked with the features of the mobile",camera,Positive
"This mobile is awesome at this price range , I don ' t think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good , even I am shocked with the features of the mobile",battery backup,Positive
"I had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well , storage is sufficient and 3gb ram is like cherry on the cake",camera,Positive
"I had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well , storage is sufficient and 3gb ram is like cherry on the cake",battery,Positive
"I had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well , storage is sufficient and 3gb ram is like cherry on the cake",storage,Positive
"I had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well , storage is sufficient and 3gb ram is like cherry on the cake",3gb ram,Positive
From my point of view it ' s a awesome choi,choi,Positive
Best phone under this prize but speaker quality not good but best phone,speaker quality,Negative
Very good phone for this price,phone,Positive
Very good phone for this price,price,Positive
Camera may not satisfy those who like taking pictures and all,Camera,Negative
"But for someone like me who is more concerned about overall performance and ability to do my work seamlessly , this phone has given me enough reasons to not complain",performance,Neutral
The processor is good and RAM is just enough to prevent apps from hanging,processor,Positive
The processor is good and RAM is just enough to prevent apps from hanging,RAM,Positive
The processor is good and RAM is just enough to prevent apps from hanging,apps,Negative
Many times I do multitasking and it hasn ' t let me down,multitasking,Positive
"Since I am not into photography and video making , storage is less of a concern",storage,Neutral
Speaker could have been b,Speaker,Negative
I personally use honor 8X and it ' s up to the mark so I ordered my mother this low end device from huawei honor,huawei,Neutral
And it hasn ' t failed the expectations,,
Best in the cheapest price,price,Positive
Decent and sleek look,look,Positive
Go for it if you are not a heavy cellphone user,,
"Beautiful smartphone must buy please battery , camera , display , performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it",battery,Positive
"Beautiful smartphone must buy please battery , camera , display , performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it",camera,Positive
"Beautiful smartphone must buy please battery , camera , display , performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it",display,Positive
"Beautiful smartphone must buy please battery , camera , display , performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it",performance,Positive
"Beautiful smartphone must buy please battery , camera , display , performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it",rear camera,Negative
Very good product in this price range display is very good and camera is also good,display,Positive
Very good product in this price range display is very good and camera is also good,camera,Positive
Small size battery but not small size backup very good battery backup,battery,Negative
Small size battery but not small size backup very good battery backup,backup,Positive
Small size battery but not small size backup very good battery backup,battery backup,Positive
I m fully satisfied,,
if u r going to unbox it u will have smile on ur face,,
i challengeAs per my point of view ur money will not waste for this mobile,money,Neutral
i challengeAs per my point of view ur money will not waste for this mobile,mobile,Positive
A good step towards customer for their full satisfaction in term of smartphone by Honor Huwai,customer,Positive
This product is So cute,,
"This is the really great phone in this price , I searched all brands like oppo , vivo , redmi etc",phone,Positive
"This is the really great phone in this price , I searched all brands like oppo , vivo , redmi etc",price,Positive
"But never get all these future in this price range , honor 10 lite best phone in this price range",,
Go for it,,
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,photos,Positive
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,USB type c,Positive
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,battery build - up,Positive
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,battery backup,Negative
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,colour definition,Negative
Nice photos ninice phone nice photo will take selfies it ' s very good but the company makes to build up after finishing it ' s definitely go with the USB type c the battery build - up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average,software,Negative
Entry level good budget Smartphone - Good for PUBG at HD and high fps - HiSilicon Kirin 710 processor fast and good,HD,Positive
